"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ARPC1A",1.10384184159306e-60,-2.14368242181156,0.057,0.204,2.20106063213656e-56,"ARPC1A"
"FGF13",3.14687172941375e-137,-2.14244160583597,0.272,0.547,6.27486222845102e-133,"FGF13"
"FBXL17",1.63402371477967e-112,-2.14115312114915,0.094,0.336,3.25824328727067e-108,"FBXL17"
"CEP63",1.10636886504584e-93,-2.13654464153077,0.059,0.256,2.2060995169014e-89,"CEP63"
"GPHN",3.78438301165452e-66,-2.13254117141063,0.055,0.206,7.5460597252391e-62,"GPHN"
"IMMP1L",4.05183596914906e-37,-2.12887572928662,0.033,0.122,8.07936092248322e-33,"IMMP1L"
"CSRNP1",4.95064332293274e-144,2.12664016493918,0.528,0.172,9.87158278592788e-140,"CSRNP1"
"CCL4",4.8965104758884e-232,2.12425664082869,0.697,0.322,9.76364188892147e-228,"CCL4"
"AFF3",1.17453116372894e-79,-2.11851344362866,0.083,0.273,2.3420151404755e-75,"AFF3"
"SLX4IP",1.1962506067448e-68,-2.11683640668491,0.049,0.2,2.38532370984912e-64,"SLX4IP"
"NDUFA13",2.10074779266849e-104,-2.11142630610855,0.133,0.38,4.18889109858096e-100,"NDUFA13"
"MTERF1",5.50097862220994e-35,-2.10320911294938,0.025,0.104,1.09689513726866e-30,"MTERF1"
"CEP112",5.31699233669894e-38,-2.10114040964253,0.032,0.121,1.06020827193777e-33,"CEP112"
