"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.0395726359707574,3.00220588215786,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.88096105090554,5.677068266954,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-1.40633999339516,0.419778797711907,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0285504066127082,-1.27050599089664,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.50176631442483,-0.951146569166603,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.257609946348025,-1.21780892840427,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.171732922710731,1.88515046605068,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.791605015911414,-1.3829491995911,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.310430222817018,-1.2595008277039,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.501926516808822,-1.62294575205845,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.580210635743783,-1.49403521052402,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.773222198404624,-1.69478699198765,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.364682147584603,-2.24546548358005,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-3.48464178077157,4.29658607014614,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.385188902423038,2.95397928723293,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.744007716260598,2.33276394375759,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.471707174859689,1.16440162428814,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.28864394656594,2.95115521916348,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.54184936515267,-1.03233405581516,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.474027762494729,1.82909360894161,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0386577748435279,-1.34777995577854,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.586237346448257,-1.07724853983921,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.098660876669242,-3.16971322527927,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",4.12189675339286,8.93334725865322,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.424983327903106,-1.50044497481388,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.468391386486842,-1.62768146029514,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.322512248225762,-1.97519322863621,"Late"
