"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"UNC5C",1.29516977054731e-48,-1.97135536485085,0.079,0.193,2.58256852247135e-44,"UNC5C"
"HDAC8",5.06728493910754e-64,-1.96266395424098,0.05,0.175,1.01041661685804e-59,"HDAC8"
"SLC39A1",1.6492931421033e-32,-1.96055379053577,0.036,0.108,3.28869052535398e-28,"SLC39A1"
"BICC1",1.83385022758846e-46,-1.95983794787247,0.068,0.176,3.6566973538114e-42,"BICC1"
"LINC01605",5.34958890509196e-34,-1.94184713722928,0.038,0.114,1.06670802767534e-29,"LINC01605"
"TIGAR",1.92871280504743e-36,-1.94039512557778,0.038,0.117,3.84585333326457e-32,"TIGAR"
"MAGI1",9.18715325872377e-59,-1.93568884051346,0.093,0.226,1.83191835978952e-54,"MAGI1"
"TRAPPC5",6.53721022230654e-44,-1.92763358374514,0.073,0.179,1.30351971832792e-39,"TRAPPC5"
"BCAS3",1.85348407331934e-53,-1.92361042300063,0.054,0.166,3.69584724219876e-49,"BCAS3"
"PARL",1.16232532060458e-45,-1.91600487237015,0.052,0.153,2.31767668928554e-41,"PARL"
"RPS10",5.8828903844053e-74,-1.91006790022115,0.128,0.294,1.17304834265042e-69,"RPS10"
"PAGE4",2.22201212367047e-98,-1.89791728616906,0.061,0.241,4.43069217459891e-94,"PAGE4"
"ATP5PO",3.38475289873693e-51,-1.88645688991394,0.093,0.219,6.74919728008143e-47,"ATP5PO"
"NAV3",2.70608138742219e-101,-1.88554617291264,0.157,0.36,5.39592628651985e-97,"NAV3"
"RFX3",2.00265914878768e-46,-1.88483642705942,0.046,0.145,3.99330234268264e-42,"RFX3"
"PRIM2",2.07393380571122e-35,-1.87105905279125,0.03,0.104,4.13542400858817e-31,"PRIM2"
"MIR99AHG",8.53342479909539e-43,-1.87029397408179,0.044,0.136,1.70156490493962e-38,"MIR99AHG"
"SLC2A5",2.8567578568182e-38,1.85776254717228,0.118,0.033,5.69637516649548e-34,"SLC2A5"
"UMAD1",2.0538277379129e-49,-1.85760197670349,0.064,0.175,4.09533250939833e-45,"UMAD1"
"SYT1",6.14240815642889e-93,-1.85663519962109,0.13,0.321,1.22479618639192e-88,"SYT1"
"NSMCE2",1.04700577012118e-66,-1.82339162675256,0.094,0.239,2.08772950562163e-62,"NSMCE2"
"CCPG1",4.02883928772699e-60,-1.81793452751928,0.078,0.211,8.03350553972761e-56,"CCPG1"
"IL1B",3.10856467171904e-161,1.81669600918182,0.444,0.148,6.19847795540776e-157,"IL1B"
"NDUFC2",4.61449585004255e-48,-1.80052390583322,0.095,0.215,9.20130472498484e-44,"NDUFC2"
