"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0002218","activation of innate immune response",185,0.254463148725178,1.20639865751694,0.0838323353293413,0.395140983425109,0.35162479374229,2548,"tags=34%, list=27%, signal=25%","TICAM2/ESR1/PRKCE/FOSL1/TLR2/DDX60/PTPN22/GPS2/NOD1/TLR1/TRAF3/MAPK8/ITCH/LACC1/ANKRD17/PELI1/ALPK1/IRAK3/TIRAP/RSAD2/USP15/OASL/AP3B1/NLRC4/SARM1/IFIH1/SRC/TBK1/OAS3/NEK7/EIF2AK2/PUM2/IRAK2/RFTN1/ZNFX1/NAIP/CLEC7A/NOD2/CREBBP/RAB11FIP2/TRIM25/PUM1/RPS6KA3/OTULIN/PLCG2/NPLOC4/SYK/PSPC1/MARK4/MFHAS1/EP300/CD300LF/COLEC12/PIK3R1/PIK3AP1/IKBKB/EPG5/WDFY1/SEC14L1/APPL2/IRF7/LYN","Infection",62
"GO:0002833","positive regulation of response to biotic stimulus",231,0.242563476534983,1.18611933587782,0.0836012861736334,0.395140983425109,0.35162479374229,2548,"tags=32%, list=27%, signal=24%","WNT5A/TICAM2/ESR1/TXK/PRKCE/FOSL1/TLR2/DDX60/PRKCA/CD226/PTPN22/GPS2/NOD1/TLR1/SASH1/TRAF3/MAPK8/ITCH/LACC1/ANKRD17/PELI1/ALPK1/IRAK3/TIRAP/RSAD2/USP15/OASL/AP3B1/NLRC4/SARM1/IFIH1/SRC/TBK1/NLRC5/OAS3/NEK7/EIF2AK2/FBXO38/PUM2/IRAK2/RFTN1/RBM47/ZNFX1/NAIP/CLEC7A/NOD2/CREBBP/AP1G1/RAB11FIP2/TRIM25/PUM1/RPS6KA3/STAT5B/OTULIN/PLCG2/NPLOC4/SYK/PSPC1/TRIM6/MARK4/MFHAS1/PARP9/EP300/CD300LF/COLEC12/PIK3R1/PIK3AP1/IKBKB/POLR3B/EPG5/WDFY1/SEC14L1/APPL2/IRF7/LYN","Infection",75
"GO:0070213","protein auto-ADP-ribosylation",10,0.606051301684838,1.53350742342407,0.0846592751512461,0.395464327497479,0.351912528493997,2652,"tags=70%, list=28%, signal=50%","TNKS/PARP8/PARP6/PARP12/PARP16/PARP11/TNKS2","Infection",7
"GO:0032801","receptor catabolic process",22,0.448909737327535,1.38377963124608,0.0848861283643892,0.396051843328928,0.35243534222813,1780,"tags=36%, list=19%, signal=30%","SMURF1/SNX25/UVRAG/ITCH/NEDD4/MTMR2/KIF16B/FURIN","Infection",8
"GO:0032481","positive regulation of type I interferon production",59,0.341917972548848,1.31047799385927,0.0849514563106796,0.396051843328928,0.35243534222813,2848,"tags=39%, list=30%, signal=27%","TICAM2/TLR2/PTPN22/ZBTB20/TRAF3/OAS2/SETD2/IFIH1/TBK1/OAS3/ARRDC4/ISG15/STAT1/PLCG2/SYK/ZC3HAV1/TANK/POLR3B/IRF7/TRAF6/CHUK/DHX58/XIAP","Infection",23
"GO:0008088","axo-dendritic transport",55,0.346559613891965,1.32296423365305,0.0850574712643678,0.396158085340891,0.352529883991983,1594,"tags=25%, list=17%, signal=21%","RABGEF1/AGTPBP1/AP3S2/APBA1/STAU2/FBXW11/AP3B1/SPAST/SPG11/KIF1B/TRAK1/OPA1/HIF1A/DLG2","Infection",14
"GO:0032528","microvillus organization",12,0.53752325884134,1.45766045560335,0.0851485148514852,0.396194458155493,0.352562251131735,523,"tags=33%, list=6%, signal=32%","TNIK/ATP8B1/RAPGEF6/RAPGEF2","Infection",4
"GO:0048538","thymus development",33,-0.46199687580403,-1.41784707427007,0.0852994555353902,0.396325625593918,0.352678973328157,178,"tags=12%, list=2%, signal=12%","EPHB3/GATA3/CCNB2/PRDX2","Infection",4
"GO:0043457","regulation of cellular respiration",32,-0.464687706321818,-1.40832330090605,0.0853432282003711,0.396325625593918,0.352678973328157,2813,"tags=59%, list=30%, signal=42%","FLCN/TRAP1/BNIP3/COX7A2/SNCA/COX7A2L/PARK7/PRELID1/PPIF/CISD1/TNF/ARL2/PINK1/ISCU/SHMT2/OPN3/UQCC2/NUPR1/ATP7A","Infection",19
"GO:0046519","sphingoid metabolic process",13,-0.598864139697027,-1.49080727588851,0.0872093023255814,0.399713198674513,0.35569347887356,20,"tags=23%, list=0%, signal=23%","ASAH1/KDSR/SPTSSA","Infection",3
"GO:0006271","DNA strand elongation involved in DNA replication",13,-0.597922075872196,-1.4884621102469,0.0872093023255814,0.399713198674513,0.35569347887356,830,"tags=62%, list=9%, signal=56%","RFC4/POLE3/PCNA/LIG1/MCM3/POLD2/MCM4/MCM7","Infection",8
"GO:0030194","positive regulation of blood coagulation",12,-0.607817727076681,-1.48568761623819,0.0865191146881288,0.399713198674513,0.35569347887356,5,"tags=17%, list=0%, signal=17%","USF1/PRDX2","Infection",2
