"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CDC34",0.442778638636047,-0.0641012944024404,0.147,0.142,1,"CDC34"
"ELOVL1",0.443462500455512,-0.102451071098863,0.202,0.214,1,"ELOVL1"
"HAUS4",0.444687878309052,-0.0778154431473618,0.162,0.173,1,"HAUS4"
"UGGT1",0.445874131285257,0.183111240869836,0.223,0.223,1,"UGGT1"
"TRIP11",0.446097553287527,0.112948009931216,0.266,0.266,1,"TRIP11"
"NAGA",0.446639321864065,-0.0435868431886074,0.421,0.426,1,"NAGA"
"ERO1A",0.447153272432049,0.132143898180599,0.231,0.231,1,"ERO1A"
"ORAI1",0.447850520887176,-0.30947104391526,0.165,0.173,1,"ORAI1"
"SNX13",0.448013809361316,-0.0584661448634916,0.313,0.332,1,"SNX13"
"SYMPK",0.448095061236764,0.199420082212681,0.121,0.132,1,"SYMPK"
"PSMD5",0.449244510441625,0.0622915875676733,0.107,0.102,1,"PSMD5"
"SIAH2",0.449468031139557,0.189156149134171,0.198,0.195,1,"SIAH2"
"FOXN2",0.450039450288662,0.0056629359831401,0.192,0.207,1,"FOXN2"
"CDK5RAP2",0.451308167068916,0.0795808155621311,0.117,0.112,1,"CDK5RAP2"
"CS",0.451624146378575,0.0940507358796492,0.176,0.174,1,"CS"
"EGLN1",0.451912972069625,0.0902071620265408,0.194,0.192,1,"EGLN1"
"SLFN11",0.452274285799226,0.147711133415866,0.244,0.244,1,"SLFN11"
"ASAP1",0.452525019497562,-0.0920980970799781,0.445,0.464,1,"ASAP1"
"TBCD",0.454342012186742,0.343076005876688,0.139,0.136,1,"TBCD"
"RPRD1B",0.454431156629046,0.031718684556121,0.119,0.114,1,"RPRD1B"
"KIFAP3",0.454511253721262,0.141488085374058,0.116,0.112,1,"KIFAP3"
"RPS19",0.454615587577233,-0.141832186654503,0.881,0.909,1,"RPS19"
"POLR1D",0.45467106864623,-0.177947172602712,0.275,0.289,1,"POLR1D"
"IPO9",0.454836782466478,0.147754376214285,0.114,0.124,1,"IPO9"
"HIF1AN",0.454923898475594,0.0590668912336743,0.094,0.101,1,"HIF1AN"
"EIF2AK2",0.455022570814404,-0.0861147029164336,0.316,0.335,1,"EIF2AK2"
"BRWD1",0.455222330850783,0.159134713916444,0.234,0.235,1,"BRWD1"
"CPSF6",0.45527547354673,-0.0444549721515576,0.183,0.196,1,"CPSF6"
"PPIL2",0.455722156590672,0.323727909099609,0.121,0.117,1,"PPIL2"
"TSPAN33",0.456933546908093,-0.131030472212202,0.358,0.357,1,"TSPAN33"
"HVCN1",0.457313727897059,-0.179263912866627,0.201,0.211,1,"HVCN1"
"PSMA3",0.457431377584213,-0.219249103952533,0.294,0.307,1,"PSMA3"
"ERI3",0.45781641485226,0.0158609094018172,0.106,0.114,1,"ERI3"
"RNGTT",0.458724403914123,0.231480480497673,0.104,0.1,1,"RNGTT"
"MTHFR",0.459241114661578,0.242941772983509,0.208,0.208,1,"MTHFR"
"NFATC2",0.45950981237816,-0.0331538001976373,0.417,0.419,1,"NFATC2"
"TSR1",0.460174042673994,0.0458021011232064,0.107,0.103,1,"TSR1"
"KMT2A",0.460674247480733,-0.0334917222621984,0.287,0.308,1,"KMT2A"
"RIN2",0.461198058893451,-0.0282982182554508,0.458,0.464,1,"RIN2"
"SLC50A1",0.461343217294045,-0.140003310642228,0.134,0.142,1,"SLC50A1"
"MROH1",0.461442817224997,0.0708415178220643,0.099,0.107,1,"MROH1"
"ANAPC13",0.4617764907307,-0.168247251242706,0.171,0.181,1,"ANAPC13"
"TBC1D10B",0.462447656537563,0.0669913412427483,0.139,0.135,1,"TBC1D10B"
"POP5",0.462678753897952,-0.0502253742311398,0.13,0.125,1,"POP5"
"PURB",0.464129053101887,0.13005264203519,0.178,0.194,1,"PURB"
"SIN3A",0.464374157242482,0.171794619375958,0.16,0.157,1,"SIN3A"
"GTF2E2",0.464800280678691,-0.284636157628412,0.095,0.102,1,"GTF2E2"
"EDEM3",0.464961460225852,0.149098525598181,0.264,0.267,1,"EDEM3"
"EBNA1BP2",0.466243001059535,-0.176473135966023,0.116,0.11,1,"EBNA1BP2"
"LAGE3",0.467472051982193,-0.3320171370721,0.191,0.2,1,"LAGE3"
"LRP10",0.46801329739955,0.0109213044465888,0.268,0.268,1,"LRP10"
"GOPC",0.468263312160271,-0.115504149144884,0.215,0.23,1,"GOPC"
"ULK3",0.468598793325322,-0.00174642888890697,0.134,0.143,1,"ULK3"
"LRPAP1",0.468635217778972,-0.113497617429923,0.377,0.375,1,"LRPAP1"
"NAB1",0.46880830354719,-0.0161955941707486,0.095,0.102,1,"NAB1"
"LMAN2",0.469034451188537,-0.194642665452613,0.387,0.401,1,"LMAN2"
"SAP30L",0.470535684364006,0.130299461459047,0.157,0.153,1,"SAP30L"
"UBE2Z",0.470555073467389,-0.00762276144790583,0.204,0.218,1,"UBE2Z"
"BICD2",0.470616318115352,0.217326308017938,0.186,0.202,1,"BICD2"
"UBE2G1",0.473861264192024,0.0528378768837632,0.218,0.217,1,"UBE2G1"
"EPB41",0.474413402493034,0.440654037387834,0.109,0.106,1,"EPB41"
"SENP6",0.474699886634251,-0.0470516306417821,0.371,0.392,1,"SENP6"
"TMEM175",0.474979210542972,0.241301280942674,0.113,0.11,1,"TMEM175"
"LIMCH1",0.475713987590105,0.0394270623372068,0.103,0.11,1,"LIMCH1"
"MFSD11",0.475719737624026,0.127449835961459,0.168,0.164,1,"MFSD11"
"GBP2",0.475786305160723,-0.0525429024192691,0.156,0.152,1,"GBP2"
"TMEM94",0.4770034633243,0.132656382972813,0.172,0.17,1,"TMEM94"
"IQSEC1",0.477568065331538,0.170639121886508,0.218,0.22,1,"IQSEC1"
"FBXO9",0.47823551439043,-0.0634270427413477,0.176,0.171,1,"FBXO9"
"KAT5",0.478567662094657,0.0993552398343138,0.119,0.115,1,"KAT5"
"C4orf33",0.479087400586206,0.128304326794568,0.094,0.102,1,"C4orf33"
"ATIC",0.480014915995684,-0.195706061317759,0.1,0.107,1,"ATIC"
"DIAPH2",0.48047927547768,-0.0323629865446241,0.312,0.332,1,"DIAPH2"
"PRMT1",0.483347364579438,-0.138792947654621,0.205,0.2,1,"PRMT1"
"PLEKHO1",0.483382396401827,-0.068124597499899,0.525,0.528,1,"PLEKHO1"
"UBR1",0.484653835069529,0.121064911238521,0.126,0.135,1,"UBR1"
