"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS27A",2.98144130259545e-142,0.964494058116,0.949,0.991,5.51328125675951e-138
"RPS4X",6.58961015536101e-142,0.97396345752331,0.96,0.993,1.21855070992936e-137
"RPL32",1.29705753783559e-141,0.93817083313938,0.944,0.996,2.39851879896557e-137
"ACTG1",5.58627987967364e-141,0.896290540814054,0.93,0.988,1.03301487534925e-136
"ITM2B",1.61883578243998e-140,0.936412060828885,0.937,0.992,2.99355112888802e-136
"RPL8",2.92589739687468e-140,0.966377028517099,0.956,0.992,5.41056946630066e-136
"RPS16",5.80580931268467e-140,0.955497641070535,0.949,0.991,1.07361025810165e-135
"RPL18A",8.6496931412537e-139,1.00195563510826,0.96,0.991,1.59950125568063e-134
"FTH1",9.27079258925659e-139,0.994730429852459,0.979,1,1.71435496560533e-134
"RPLP2",7.75120314707101e-138,0.878016260331012,0.951,0.996,1.43335248595637e-133
"RPL37A",2.43989406745479e-136,0.931596189819838,0.951,0.992,4.51185210953739e-132
"RPS11",2.47012858828769e-136,0.955537962117591,0.942,0.986,4.56776178546161e-132
"SPP1",1.19976483617815e-135,1.21331849174899,0.909,0.985,2.21860513506064e-131
"RPS19",5.74622873194281e-134,0.888825471589388,0.942,0.994,1.06259261711086e-129
"RPL15",5.87277703311114e-134,0.907615419329897,0.937,0.991,1.08599392896291e-129
"RPS3",6.29636185641659e-134,0.976838250698573,0.944,0.991,1.16432323448856e-129
"RPL27A",3.97906554755748e-133,0.903834622393817,0.951,0.996,7.35808801054329e-129
"RPLP0",1.59912489730652e-131,0.9568015950738,0.942,0.983,2.95710176009921e-127
"RPL30",4.79065816593697e-131,0.921479370610053,0.937,0.986,8.85888508045064e-127
"CD63",3.23587628189382e-128,0.824947300240652,0.925,0.99,5.98378242047806e-124
"RPL26",2.01389442284491e-127,0.923370166904735,0.946,0.99,3.7240935667248e-123
