"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1904871","positive regulation of protein localization to Cajal body",11,-0.693208907218377,-1.8888054060678,0.00318682321086493,0.153585367601174,0.147360622156536,2600,"tags=91%, list=28%, signal=66%","CCT3/DKC1/CCT4/MEPCE/CCT2/CCT5/CCT8/CCT6A/TCP1/CCT7"
"GO:0045071","negative regulation of viral genome replication",36,0.603289680367907,1.74659066771917,0.00314491683336945,0.153585367601174,0.147360622156536,2304,"tags=50%, list=25%, signal=38%","MX1/RSAD2/OAS2/IFIT1/OAS3/TNF/PROX1/OAS1/MAVS/ZC3HAV1/FAM111A/INPP5K/ISG15/IFIT5/MPHOSPH8/ZNFX1/IFIH1/EIF2AK2"
"GO:1903046","meiotic cell cycle process",75,0.507015478721334,1.63903018194333,0.0028818822706955,0.153585367601174,0.147360622156536,2595,"tags=40%, list=28%, signal=29%","PLCB1/TEX14/RPS6KA2/RAD51B/RAD51AP1/PTTG1/MSX2/RAD1/SLX4/CHFR/SUN1/NSUN2/ORC4/HUS1/FIGNL1/RMI1/FZR1/RAD51D/EME2/FANCM/EHMT2/CKS2/SMC2/MYH9/NCAPD2/CENPC/NCAPH2/FOXJ2/AGO4/SMC4"
"GO:0099536","synaptic signaling",286,0.39303884692629,1.39595997457249,0.003145196891211,0.153585367601174,0.147360622156536,1925,"tags=30%, list=21%, signal=24%","PLCB1/SYN3/RPS6KA2/EGR2/ROR2/PRKCE/EGR3/BTBD9/SIPA1L1/CX3CR1/DYSF/APBA3/MME/AKAP12/STX3/TNF/CDH1/ABHD6/TRIO/SLC4A8/CDKL5/TMOD2/PRKCZ/EPHB2/GABRA3/CELF4/CPEB3/DAG1/DNM1/MCTP2/DMD/P2RX7/DISC1/EXOC4/EXT1/AKAP9/STXBP5/OPHN1/ADRB2/SYT11/SYNE1/DGKE/ABR/SLC12A6/SLC38A1/AKAP7/RETN/FBXL20/CEP89/PLCL2/GIT1/SYAP1/SNAP47/PRKCB/STX2/CLN3/PTPRA/IL1RAP/UNC13B/SLC6A6/TSHZ3/RGS14/CLSTN1/DTNB/KCMF1/PLCL1/ZMYND8/BRAF/GRIA4/KIF1B/S1PR2/MINK1/ABAT/PDE9A/RAPGEF2/CACNB4/KAT2A/SYT1/SLC38A2/NEFH/KMT2A/ERC1/DTNA/PTK2B/SYNJ1"
"GO:0006935","chemotaxis",219,-0.261867664680908,-1.38294318746544,0.00309002470507825,0.153585367601174,0.147360622156536,368,"tags=10%, list=4%, signal=10%","CMTM3/VEGFA/CXCL12/RAC2/CCRL2/C5AR1/IL10/MMP2/LGALS3/CH25H/MDK/PLAUR/HBEGF/CXCL8/CXCL1/F3/CXCL14/IL1B/ITGA1/CXCL3/CXCL2/CCL21"
"GO:0042330","taxis",219,-0.261867664680908,-1.38294318746544,0.00309002470507825,0.153585367601174,0.147360622156536,368,"tags=10%, list=4%, signal=10%","CMTM3/VEGFA/CXCL12/RAC2/CCRL2/C5AR1/IL10/MMP2/LGALS3/CH25H/MDK/PLAUR/HBEGF/CXCL8/CXCL1/F3/CXCL14/IL1B/ITGA1/CXCL3/CXCL2/CCL21"
"GO:0000226","microtubule cytoskeleton organization",350,0.37801306471997,1.35195792206454,0.00295315681291358,0.153585367601174,0.147360622156536,2880,"tags=37%, list=31%, signal=27%","GOLGA8A/SPAG16/ARMC2/TACC2/IFT172/HAUS8/CENPJ/KATNAL2/TTLL3/DNAH1/SASS6/MNS1/MET/RACGAP1/NAV1/SYNE2/GEN1/CEP295/PEX14/NIN/PCNT/C2CD3/SIK3/NUMA1/WDR73/TTLL5/PRKCZ/POC1B/BICD1/CAPN6/UVRAG/CUL9/CROCC/DAG1/TTLL4/DISC1/NCKAP5/TUBGCP5/AKAP9/RTTN/KIZ/SAC3D1/CEP85/CDK2/WEE1/CCDC88B/PDE4DIP/SUN1/CETN3/NAT10/TTBK2/RMDN1/CDC14A/ALMS1/SMC1A/TRAF3IP1/GIT1/PKD1/OBSL1/STK36/TUBGCP6/CENPE/MAP7D3/RGS14/TNKS/FIGNL1/HOOK2/CEP350/TRIM36/CLUAP1/TUBD1/HAUS7/KATNBL1/SRGAP2/KAT2A/CCSAP/SPATA7/MAP7/CCDC88A/CDK5RAP2/BBS4/NEFH/STAG1/CCDC66/DNAL1/PIBF1/CEP250/RANBP9/ODF2/DRG1/USP33/CLASP1/ZBED3/GSK3B/CUL7/CEP120/NDE1/NAV3/HOOK3/MYH9/CETN2/WDR47/PKD2/NEK6/DLG1/DOCK7/ARHGEF7/CAMSAP1/ARHGEF2/PPP2R3C/MECP2/CDC14B/LZTS2/CCNL1/ABL1/GADD45A/EML2/SPAST/SETD2/BICD2/DCTN1/MDM1/MARK2/CCDC57/AXIN1/DDB1/CEP68/TTL/CEP192/DYRK1A/NCKAP5L"
"GO:0030194","positive regulation of blood coagulation",11,-0.689042173683791,-1.87745219242063,0.00350234041679272,0.163777760282297,0.157139921774806,507,"tags=36%, list=5%, signal=34%","PLAU/ENPP4/THBD/F3"
"GO:1900048","positive regulation of hemostasis",11,-0.689042173683791,-1.87745219242063,0.00350234041679272,0.163777760282297,0.157139921774806,507,"tags=36%, list=5%, signal=34%","PLAU/ENPP4/THBD/F3"
"GO:0046578","regulation of Ras protein signal transduction",117,0.455830671727519,1.53500166230145,0.00346837021334119,0.163777760282297,0.157139921774806,2626,"tags=40%, list=28%, signal=29%","AUTS2/KANK1/TAGAP/ADGRG1/MET/NET1/RASA4/BCL6/STK19/CYTH3/DENND1A/CBL/EPHB2/F2RL1/OPHN1/SCAI/DENND4C/LPAR2/RABGEF1/ITPKB/ABCA1/GIT1/FLCN/EPS8L1/RALGPS1/ARHGAP35/STARD13/NOTCH1/ARFGAP1/CYTH1/RASA3/ABL2/DENND3/MYO9B/DENND4A/CCDC125/ARRB1/OGT/PSD3/ARHGEF2/NOTCH2/MAPKAP1/IQSEC1/SYDE1/DENND4B/NF1/ABL1"
