"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"KIF20B",0.0206648233791002,0.106636911273436,0.18,0.159,1,"KIF20B"
"ZNF800",0.0207077684004464,0.0777862360473109,0.241,0.219,1,"ZNF800"
"LPCAT3",0.0207492939646023,0.215451948888323,0.168,0.151,1,"LPCAT3"
"MCOLN1",0.0207669072765096,0.0709723105079558,0.558,0.517,1,"MCOLN1"
"DENND1B",0.0209381064653731,0.0619114062016651,0.195,0.173,1,"DENND1B"
"SERBP1",0.0209672712533015,0.0728964075519747,0.587,0.551,1,"SERBP1"
"MLH3",0.0209791198897653,0.181916549157515,0.161,0.143,1,"MLH3"
"WDR43",0.0211255177981261,0.101798426819599,0.161,0.142,1,"WDR43"
"CUL3",0.0211420846846516,0.0264616986565712,0.287,0.26,1,"CUL3"
"TICAM2",0.0212983934169662,0.248575324329729,0.116,0.1,1,"TICAM2"
"ETS2",0.0213389650533046,-0.136615235023034,0.558,0.548,1,"ETS2"
"SRP14",0.0213769621915979,-0.0359506048372231,0.797,0.77,1,"SRP14"
"DNAJB1",0.0213850050121433,-0.0725667444052771,0.617,0.555,1,"DNAJB1"
"CEP104",0.0214095856270548,0.047555296069582,0.127,0.11,1,"CEP104"
"SCAND1",0.0214922813751541,-0.0977270118897984,0.352,0.371,1,"SCAND1"
"ARL1",0.0215805714689929,-0.0818649071189423,0.203,0.224,1,"ARL1"
"GPD1L",0.0215890313811622,-0.350060321546528,0.109,0.125,1,"GPD1L"
"SLC38A9",0.0216196776921848,0.0833420446187154,0.134,0.117,1,"SLC38A9"
"BANF1",0.021624680785848,-0.0955804267479017,0.315,0.336,1,"BANF1"
"P3H1",0.0216524508126778,-0.121785165144915,0.097,0.112,1,"P3H1"
"FCGR1A",0.0217005866417382,-0.111452871015956,0.631,0.622,1,"FCGR1A"
"MLKL",0.0217041268094187,-0.347080192789995,0.125,0.142,1,"MLKL"
"ZDHHC3",0.0219284067663772,-0.14351806285487,0.208,0.228,1,"ZDHHC3"
"WDR45",0.0219655487131329,0.0865528979765743,0.155,0.136,1,"WDR45"
"KLF16",0.0219748634208061,0.203368090656345,0.175,0.156,1,"KLF16"
"NDUFV1",0.0220343334980915,-0.176652730355949,0.22,0.24,1,"NDUFV1"
"RPL39",0.0221566497988474,-0.0291230129221955,0.943,0.882,1,"RPL39"
"SREK1",0.0221587877840284,-0.00834206419711706,0.301,0.273,1,"SREK1"
"SH3YL1",0.0222330951375188,0.10693097672662,0.114,0.097,1,"SH3YL1"
"GOLT1B",0.0222359813799847,-0.161678775679653,0.128,0.146,1,"GOLT1B"
"TAF1",0.0222738051762105,-0.0211644277438011,0.178,0.157,1,"TAF1"
"VAC14",0.0222850641692083,-0.0551349049797163,0.223,0.2,1,"VAC14"
"CHMP5",0.022302029939274,-0.126671679274131,0.429,0.441,1,"CHMP5"
"GTF2A1",0.022399018544617,-0.0128305423412706,0.258,0.233,1,"GTF2A1"
"RNF13",0.0224649107729093,0.034083045098765,0.597,0.555,1,"RNF13"
"PER1",0.0225006276082645,-0.0562163336324753,0.237,0.212,1,"PER1"
"SRP72",0.02252676132725,-0.153686783678296,0.304,0.324,1,"SRP72"
"TLR4",0.0225326496759407,-0.0905939836350589,0.584,0.577,1,"TLR4"
"ZFYVE21",0.0225351873258995,0.196644243721192,0.205,0.186,1,"ZFYVE21"
"ITGAM",0.0225929999137668,-0.0972025815782314,0.411,0.421,1,"ITGAM"
"FNBP4",0.0226285541421456,-0.0264973008195865,0.245,0.223,1,"FNBP4"
"MED28",0.0226626910437809,-0.1257888243053,0.225,0.245,1,"MED28"
"EIF4H",0.0227153530066867,0.0846582732746454,0.411,0.384,1,"EIF4H"
"SNX20",0.0227227390043745,0.272240682750852,0.124,0.108,1,"SNX20"
"KIAA2013",0.02272581641354,0.164288367655772,0.27,0.249,1,"KIAA2013"
"DCAF7",0.0227837407398656,0.187365094026084,0.29,0.268,1,"DCAF7"
"SNX5",0.0228390305782968,-0.125949814771336,0.566,0.559,1,"SNX5"
"ATP6V1B2",0.0228680279514383,-0.13557762954217,0.446,0.454,1,"ATP6V1B2"
"CTDSPL2",0.0228927208111837,0.152253232470064,0.209,0.189,1,"CTDSPL2"
"PHF3",0.0231150430059781,0.0445238186675314,0.416,0.389,1,"PHF3"
"GLT8D1",0.023179520307513,-0.293302460901351,0.118,0.134,1,"GLT8D1"
"NAGK",0.0234318098819119,-0.12552982366824,0.493,0.497,1,"NAGK"
"EED",0.0234642770765147,-0.0379497734847516,0.126,0.108,1,"EED"
