"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TMEM144",0.287508307333503,-0.114366962837863,0.29,0.241,1,"TMEM144"
"PLEKHG5",0.287557250419199,-0.42567932870782,0.138,0.113,1,"PLEKHG5"
"AVL9",0.287750215080663,-0.192576212141684,0.168,0.139,1,"AVL9"
"GSTCD",0.287942267593793,0.119320779170004,0.117,0.096,1,"GSTCD"
"PRKAA1",0.287954594559405,-0.603283103138514,0.166,0.172,1,"PRKAA1"
"SMIM14",0.288264955176288,-0.0397337983824682,0.238,0.244,1,"SMIM14"
"DNAAF2",0.288613628571142,-0.337156085319673,0.1,0.113,1,"DNAAF2"
"GCNT2",0.288723141625627,-0.231979876650172,0.159,0.132,1,"GCNT2"
"COPS2",0.289244039095297,-0.182856541029637,0.313,0.301,1,"COPS2"
"ARHGAP25",0.289249715644355,-0.118322867105511,0.334,0.332,1,"ARHGAP25"
"KIAA1191",0.289839858064514,-0.448405925286662,0.14,0.148,1,"KIAA1191"
"PDIA6",0.289922464300482,0.246025168206697,0.68,0.781,1,"PDIA6"
