"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FBXL5",0.00476500559075374,0.0475301044118886,0.263,0.241,1
"GOLGA4",0.00478314963590684,-0.124091107141989,0.602,0.645,1
"SLC7A6",0.00478691922343551,0.0872946694156709,0.106,0.126,1
"SIRT2",0.00478933407274023,0.215787965887219,0.213,0.192,1
"MRPL21",0.00482895976660963,-0.589616032129984,0.154,0.172,1
"RPS28",0.00491916041861031,-0.147525665023449,0.841,0.96,1
"FAM111A",0.00492139195232135,-0.0105179683752997,0.169,0.194,1
"ELK4",0.00494000104075245,0.227122607080153,0.138,0.122,1
"CLCN6",0.00499431007169365,0.655430877905557,0.124,0.111,1
"ACSL3",0.00504924226996947,0.220159268781845,0.347,0.337,1
"CBLL1",0.00506469796484168,0.0726331491612047,0.114,0.099,1
"CCS",0.00507908731782275,-0.241855034368769,0.154,0.175,1
"PEAK1",0.00509127081124973,0.00938094679712376,0.402,0.436,1
"XPO4",0.00522302185858291,-0.212794625482208,0.111,0.13,1
"TMED3",0.00522485351683002,-0.345518417113329,0.108,0.124,1
"ATG2A",0.00524904922684375,0.162970102040861,0.086,0.103,1
"DRG1",0.00529381380949389,0.137797904851128,0.117,0.1,1
"SCLT1",0.00533987251275803,0.0362581852151355,0.129,0.149,1
"ECHDC1",0.00534047554647506,-0.227809510986389,0.179,0.2,1
"KMT5B",0.00535124978062929,-0.0720011880146079,0.185,0.21,1
"SYPL1",0.00543970886978189,-0.252653465891322,0.225,0.247,1
"REEP4",0.0054796833268754,0.179141654701519,0.182,0.164,1
"SPRY2",0.00548906342400012,0.427840078260294,0.14,0.125,1
"MOCS2",0.00549097234306298,-0.120915900896533,0.154,0.134,1
"RAB21",0.00549199646229269,0.100592044273737,0.386,0.376,1
"USP42",0.00554445452296108,0.189714696850694,0.091,0.109,1
"CARD8-AS1",0.0055449681280764,-0.479512795431729,0.088,0.102,1
"CDC34",0.00570070519946521,0.0113521251198966,0.15,0.133,1
"CSDE1",0.00575105251750916,-0.0556912332813191,0.561,0.557,1
"TRIO",0.00578366977874903,0.353462220977246,0.211,0.196,1
"TCAIM",0.00578679345197998,-0.390118590716507,0.099,0.115,1
"TEX264",0.00580545632672738,-0.363540983230206,0.23,0.251,1
"MAX",0.00581149431428657,0.00891240241624891,0.314,0.296,1
"DDX23",0.00584967418210445,-0.266078376703226,0.121,0.139,1
"ICE2",0.00585786728227602,-0.153459697265471,0.172,0.194,1
